datum,uhrzeit_start,uhrzeit_ende,fahrzeug,kennzeichen,nutzer,fahrtzweck,startort,zielort,km_start,km_ende,km_gesamt,auftrags_nr
2026-03-17,10:30,14:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Gasabnahme GAS-Inst.,Hansaring 97 Neustadt-Nord,Venloer Str. 125 Ehrenfeld,48466,48479,13,AO-2026-0213
2026-03-18,06:45,07:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Materialabholung Notfall,Kölner Str. 84 Ehrenfeld,Industriestr. 14 Ossendorf,48479,48487,8,MAT-2026-0318
2026-03-18,07:45,09:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Wartung Therme Stammkunde,Industriestr. 14 Ossendorf,Salierring 42 Altstadt-Süd,48487,48499,12,AO-2026-0214
2026-03-18,10:00,11:45,VW Transporter T6.1,K-JM 426,Jonas Mertens,Sanitärprüfung Neubau,Salierring 42 Altstadt-Süd,Neumarkt 12 Innenstadt,48499,48508,9,AO-2026-0215
2026-03-18,12:30,13:15,VW Transporter T6.1,K-JM 426,Jonas Mertens,Mittagspause / Rückfahrt Depot,Neumarkt 12 Innenstadt,Kölner Str. 84 Ehrenfeld,48508,48516,8,INT-2026-0318b
2026-03-18,14:50,16:30,VW Transporter T6.1,K-JM 426,Jonas Mertens,Heizungsnotfall Eigelsteiner Str.,Kölner Str. 84 Ehrenfeld,Eigelsteiner Str. 59 Innenstadt,48516,48530,14,NOT-2026-0318
2026-03-18,17:15,18:00,VW Transporter T6.1,K-JM 426,Emir Özkan,Materialabholung Ehrenfeld,Eigelsteiner Str. 59 Innenstadt,Moltkestr. 5 Ehrenfeld,48530,48537,7,MAT-2026-0319
2026-03-19,08:00,11:30,VW Transporter T6.1,K-JM 426,Lars Riemer,Wartung Lindenthal Heizanlage,Kölner Str. 84 Ehrenfeld,Gleueler Str. 303 Lindenthal,48537,48551,14,AO-2026-0216
2026-03-19,12:00,14:45,VW Transporter T6.1,K-JM 426,Jonas Mertens,Rohrsanierung,Gleueler Str. 303 Lindenthal,Militärring 60 Junkersdorf,48551,48566,15,AO-2026-0217
2026-03-20,07:30,09:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Rückfahrt Material,Kölner Str. 84 Ehrenfeld,Industriestr. 14 Ossendorf,48566,48576,10,MAT-2026-0320
2026-03-20,09:30,13:30,VW Transporter T6.1,K-JM 426,Emir Özkan,Heizungsprüfung Rheinauhafen,Industriestr. 14 Ossendorf,Agrippinawerft 30 Rheinauhafen,48576,48589,13,AO-2026-0218
2026-03-23,07:00,10:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Jahreswartung Block,Kölner Str. 84 Ehrenfeld,Bonner Str. 500 Poll,48589,48611,22,AO-2026-0219
2026-03-23,10:30,12:30,VW Transporter T6.1,K-JM 426,Lars Riemer,Materialrückgabe + Abholung,Bonner Str. 500 Poll,Industriestr. 14 Ossendorf,48611,48623,12,MAT-2026-0321
2026-03-24,08:00,15:00,VW Transporter T6.1,K-JM 426,Jonas Mertens,Gasinstallation Neubau (Abnahme),Kölner Str. 84 Ehrenfeld,Pulheimer Str. 88 Bocklemünd,48623,48649,26,AO-2026-0220
2026-03-25,07:30,10:00,VW Transporter T6.1,K-JM 426,Emir Özkan,Sanitär-Endmontage,Kölner Str. 84 Ehrenfeld,Dürener Str. 412 Braunsfeld,48649,48661,12,AO-2026-0221
2026-03-26,08:00,13:45,VW Transporter T6.1,K-JM 426,Jonas Mertens,Heizungsanlage Komplett Tausch,Kölner Str. 84 Ehrenfeld,Venloer Str. 350 Bickendorf,48661,48685,24,AO-2026-0222
